t/di,diam_in,psi,thick_in,thick_mm,deflect_mm,deflect_in
0.036,3.33,0,0,0,0,0
0.036,3.33,1000,0.120,2.937,3541.016,144.531
0.036,3.33,2000,0.120,2.937,7082.031,289.063
0.036,3.33,4000,0.120,2.937,14164.063,578.125
0.036,3.33,8000,0.120,2.937,28328.125,1156.250
0.036,3.33,16000,0.120,2.937,56656.250,2312.500
0.036,3.33,28000,0.120,2.937,99148.438,4046.875
0.058,4.0,0,0,0,0,0
0.058,4.0,1000,0.232,5.684,1017.108,41.515
0.058,4.0,2000,0.232,5.684,2034.216,83.029
0.058,4.0,4000,0.232,5.684,4068.432,166.058
0.058,4.0,8000,0.232,5.684,8136.865,332.117
0.058,4.0,16000,0.232,5.684,16273.730,664.234
0.058,4.0,28000,0.232,5.684,28479.027,1162.409
0.082,1.5,0,0,0,0,0
0.082,1.5,1000,0.123,3.014,134.971,5.509
0.082,1.5,2000,0.123,3.014,269.942,11.018
0.082,1.5,4000,0.123,3.014,539.884,22.036
0.082,1.5,8000,0.123,3.014,1079.769,44.072
0.082,1.5,16000,0.123,3.014,2159.538,88.144
0.082,1.5,28000,0.123,3.014,3779.191,154.253
0.102,3.33,0,0,0,0,0
0.102,3.33,1000,0.340,8.322,155.681,6.354
0.102,3.33,2000,0.340,8.322,311.361,12.709
0.102,3.33,4000,0.340,8.322,622.723,25.417
0.102,3.33,8000,0.340,8.322,1245.446,50.835
0.102,3.33,16000,0.340,8.322,2490.892,101.669
0.102,3.33,28000,0.340,8.322,4359.060,177.921
0.110,4.0,0,0,0,0,0
0.11,4.0,1000,0.440,10.780,149.098,6.086
0.11,4.0,2000,0.440,10.780,298.197,12.171
0.11,4.0,4000,0.440,10.780,596.394,24.343
0.11,4.0,8000,0.440,10.780,1192.787,48.685
0.11,4.0,16000,0.440,10.780,2385.575,97.370
0.11,4.0,28000,0.440,10.780,4174.756,170.398
0.156,1.5,0,0,0,0,0
0.156,1.5,1000,0.234,5.733,19.602,0.800
0.156,1.5,2000,0.234,5.733,39.205,1.600
0.156,1.5,4000,0.234,5.733,78.409,3.200
0.156,1.5,8000,0.234,5.733,156.819,6.401
0.156,1.5,16000,0.234,5.733,313.638,12.802
0.156,1.5,28000,0.234,5.733,548.866,22.403
0.182,3.33,0,0,0,0,0
0.182,3.33,1000,0.606,14.848,27.404,1.119
0.182,3.33,2000,0.606,14.848,54.809,2.237
0.182,3.33,4000,0.606,14.848,109.618,4.474
0.182,3.33,8000,0.606,14.848,219.236,8.948
0.182,3.33,16000,0.606,14.848,438.471,17.897
0.182,3.33,28000,0.606,14.848,767.325,31.319
0.228,1.5,0,0,0,0,0
0.228,1.5,1000,0.342,8.379,6.279,0.256
0.228,1.5,2000,0.342,8.379,12.558,0.513
0.228,1.5,4000,0.342,8.379,25.115,1.025
0.228,1.5,8000,0.342,8.379,50.231,2.050
0.228,1.5,16000,0.342,8.379,100.461,4.100
0.228,1.5,28000,0.342,8.379,175.807,7.176
0.241,4.0,0,0,0,0,0
0.241,4.0,1000,0.964,23.618,14.178,0.579
0.241,4.0,2000,0.964,23.618,28.355,1.157
0.241,4.0,4000,0.964,23.618,56.710,2.315
0.241,4.0,8000,0.964,23.618,113.420,4.629
0.241,4.0,16000,0.964,23.618,226.840,9.259
0.241,4.0,28000,0.964,23.618,396.970,16.203
0.251,3.33,0,0,0,0,0
0.251,3.33,1000,0.836,20.478,10.448,0.426
0.251,3.33,2000,0.836,20.478,20.895,0.853
0.251,3.33,4000,0.836,20.478,41.790,1.706
0.251,3.33,8000,0.836,20.478,83.580,3.411
0.251,3.33,16000,0.836,20.478,167.161,6.823
0.251,3.33,28000,0.836,20.478,292.531,11.940
0.331,1.5,0,0,0,0,0
0.331,1.5,1000,0.497,12.164,2.052,0.084
0.331,1.5,2000,0.497,12.164,4.104,0.168
0.331,1.5,4000,0.497,12.164,8.208,0.335
0.331,1.5,8000,0.497,12.164,16.417,0.670
0.331,1.5,16000,0.497,12.164,32.834,1.340
0.331,1.5,28000,0.497,12.164,57.459,2.345
0.338,3.33,0,0,0,0,0
0.338,3.33,1000,1.126,27.576,4.278,0.175
0.338,3.33,2000,1.126,27.576,8.557,0.349
0.338,3.33,4000,1.126,27.576,17.114,0.699
0.338,3.33,8000,1.126,27.576,34.228,1.397
0.338,3.33,16000,1.126,27.576,68.455,2.794
0.338,3.33,28000,1.126,27.576,119.796,4.890
0.407,1.5,0,0,0,0,0
0.407,1.5,1000,0.610,14.957,1.104,0.045
0.407,1.5,2000,0.610,14.957,2.208,0.090
0.407,1.5,4000,0.610,14.957,4.415,0.180
0.407,1.5,8000,0.610,14.957,8.831,0.360
0.407,1.5,16000,0.610,14.957,17.661,0.721
0.407,1.5,28000,0.610,14.957,30.907,1.262
0.433,3.33,0,0,0,0,0
0.433,3.33,1000,1.442,35.326,2.035,0.083
0.433,3.33,2000,1.442,35.326,4.070,0.166
0.433,3.33,4000,1.442,35.326,8.140,0.332
0.433,3.33,8000,1.442,35.326,16.280,0.665
0.433,3.33,16000,1.442,35.326,32.561,1.329
0.433,3.33,28000,1.442,35.326,56.981,2.326
0.489,1.5,0,0,0,0,0
0.489,1.5,1000,0.734,17.971,0.636,0.026
0.489,1.5,2000,0.734,17.971,1.273,0.052
0.489,1.5,4000,0.734,17.971,2.546,0.104
0.489,1.5,8000,0.734,17.971,5.092,0.208
0.489,1.5,16000,0.734,17.971,10.183,0.416
0.489,1.5,28000,0.734,17.971,17.820,0.727
0.498,4.0,0,0,0,0,0
0.498,4.0,1000,1.992,48.804,1.607,0.066
0.498,4.0,2000,1.992,48.804,3.214,0.131
0.498,4.0,4000,1.992,48.804,6.427,0.262
0.498,4.0,8000,1.992,48.804,12.854,0.525
0.498,4.0,16000,1.992,48.804,25.709,1.049
0.498,4.0,28000,1.992,48.804,44.991,1.836
0.559,1.5,0,0,0,0,0
0.559,1.5,1000,0.839,20.543,0.426,0.017
0.559,1.5,2000,0.839,20.543,0.852,0.035
0.559,1.5,4000,0.839,20.543,1.704,0.070
0.559,1.5,8000,0.839,20.543,3.408,0.139
0.559,1.5,16000,0.839,20.543,6.817,0.278
0.559,1.5,28000,0.839,20.543,11.929,0.487
0.600,3.33,0,0,0,0,0
0.6,3.33,1000,1.998,48.951,0.765,0.031
0.6,3.33,2000,1.998,48.951,1.530,0.062
0.6,3.33,4000,1.998,48.951,3.059,0.125
0.6,3.33,8000,1.998,48.951,6.119,0.250
0.6,3.33,16000,1.998,48.951,12.238,0.499
0.6,3.33,28000,1.998,48.951,21.416,0.874
0.655,1.5,0,0,0,0,0
0.655,1.5,1000,0.983,24.071,0.265,0.011
0.655,1.5,2000,0.983,24.071,0.530,0.022
0.655,1.5,4000,0.983,24.071,1.059,0.043
0.655,1.5,8000,0.983,24.071,2.119,0.086
0.655,1.5,16000,0.983,24.071,4.237,0.173
0.655,1.5,28000,0.983,24.071,7.415,0.303
0.847,0.590,0,0,0,0,0
0.847,0.59,1000,0.500,12.243,0.048,0.002
0.847,0.59,2000,0.500,12.243,0.096,0.004
0.847,0.59,4000,0.500,12.243,0.193,0.008
0.847,0.59,8000,0.500,12.243,0.385,0.016
0.847,0.59,16000,0.500,12.243,0.771,0.031
0.847,0.59,28000,0.500,12.243,1.349,0.055
